l1;l2;l3;l4;l5;l6;spk_id;ut_id;frameTime;pcm_loudness_sma;mfcc_sma[0];mfcc_sma[1];mfcc_sma[2];mfcc_sma[3];mfcc_sma[4];mfcc_sma[5];mfcc_sma[6];mfcc_sma[7];mfcc_sma[8];mfcc_sma[9];mfcc_sma[10];mfcc_sma[11];mfcc_sma[12];mfcc_sma[13];mfcc_sma[14];logMelFreqBand_sma[0];logMelFreqBand_sma[1];logMelFreqBand_sma[2];logMelFreqBand_sma[3];logMelFreqBand_sma[4];logMelFreqBand_sma[5];logMelFreqBand_sma[6];logMelFreqBand_sma[7];lspFreq_sma[0];lspFreq_sma[1];lspFreq_sma[2];lspFreq_sma[3];lspFreq_sma[4];lspFreq_sma[5];lspFreq_sma[6];lspFreq_sma[7];F0finEnv_sma;voicingFinalUnclipped_sma;F0final_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;pcm_loudness_sma_de;mfcc_sma_de[0];mfcc_sma_de[1];mfcc_sma_de[2];mfcc_sma_de[3];mfcc_sma_de[4];mfcc_sma_de[5];mfcc_sma_de[6];mfcc_sma_de[7];mfcc_sma_de[8];mfcc_sma_de[9];mfcc_sma_de[10];mfcc_sma_de[11];mfcc_sma_de[12];mfcc_sma_de[13];mfcc_sma_de[14];logMelFreqBand_sma_de[0];logMelFreqBand_sma_de[1];logMelFreqBand_sma_de[2];logMelFreqBand_sma_de[3];logMelFreqBand_sma_de[4];logMelFreqBand_sma_de[5];logMelFreqBand_sma_de[6];logMelFreqBand_sma_de[7];lspFreq_sma_de[0];lspFreq_sma_de[1];lspFreq_sma_de[2];lspFreq_sma_de[3];lspFreq_sma_de[4];lspFreq_sma_de[5];lspFreq_sma_de[6];lspFreq_sma_de[7];F0finEnv_sma_de;voicingFinalUnclipped_sma_de;F0final_sma_de;jitterLocal_sma_de;jitterDDP_sma_de;shimmerLocal_sma_de
1;0;0;0;0;0;035;08;0.000000;1.002527e-002;-7.140251e+001;-3.109001e+001;-1.613124e+000;3.328157e-001;-3.716772e+000;4.929342e+000;-8.948940e+000;-7.479642e+000;-1.789005e+001;-9.833126e+000;9.403728e+000;-7.857740e+000;-3.689906e+000;1.722578e+000;-7.816521e+000;-1.152627e+001;-1.144545e+001;-1.059191e+001;-9.308736e+000;-8.759675e+000;-7.423576e+000;-6.417647e+000;-5.497435e+000;5.185917e-001;8.057659e-001;1.197899e+000;1.459540e+000;1.727057e+000;1.954869e+000;2.310595e+000;2.355416e+000;0;1.683281e-001;0;0;0;0;9.271380e-003;4.765373e-001;6.265188e-001;-8.259872e-002;3.876647e-001;4.812090e-001;3.570638e-002;1.880162e+000;2.855110e-002;1.878742e-001;5.868536e-001;-2.698379e-001;2.060216e-001;1.396427e+000;-2.498960e-001;1.491545e-001;1.087623e-001;6.680641e-002;1.319486e-001;8.651066e-002;5.137644e-002;9.438262e-002;-6.098986e-003;-4.268069e-002;-6.489241e-003;-6.909400e-003;-1.028299e-002;-5.961299e-004;-7.280850e-003;-1.840705e-002;-9.480571e-003;-7.542515e-003;0;8.156236e-002;0;0;0;0
1;0;0;0;0;0;035;08;0.010000;2.995453e-002;-7.053033e+001;-2.983207e+001;-1.541712e+000;1.145217e+000;-3.051208e+000;6.008646e+000;-3.101135e+000;-6.039090e+000;-1.816921e+001;-8.934228e+000;8.870867e+000;-6.509452e+000;9.251599e-001;1.831121e+000;-8.159112e+000;-1.137463e+001;-1.138063e+001;-1.022281e+001;-9.177482e+000;-8.731422e+000;-7.217589e+000;-6.431835e+000;-5.578379e+000;5.104221e-001;7.804354e-001;1.182890e+000;1.463601e+000;1.713832e+000;1.908566e+000;2.303995e+000;2.343871e+000;0;3.406424e-001;0;0;0;0;1.244634e-002;8.167755e-001;8.192156e-001;3.497318e-002;3.837133e-001;4.934022e-001;-1.264352e-001;2.306743e+000;4.459222e-001;1.772148e+000;1.284015e+000;-8.720566e-001;4.361868e-003;1.743196e+000;1.530803e-001;6.696979e-001;1.425493e-001;1.279303e-001;1.704770e-001;1.210808e-001;9.664898e-002;1.194385e-001;2.877383e-002;-3.064184e-002;-1.412788e-002;-5.672437e-003;-1.620104e-002;-2.051890e-003;-5.893266e-003;-1.983045e-002;-1.406991e-002;-1.009431e-002;0;9.521101e-002;0;0;0;0
1;0;0;0;0;0;035;08;0.020000;4.641755e-002;-6.945592e+001;-2.858639e+001;-2.061823e+000;1.864939e+000;-1.643509e+000;4.568222e+000;-2.472036e+000;-8.057163e+000;-1.681110e+001;-7.348307e+000;8.320970e+000;-7.501776e+000;9.846973e-001;4.188268e-001;-6.899453e+000;-1.105827e+001;-1.114382e+001;-1.011672e+001;-8.941810e+000;-8.516919e+000;-7.054657e+000;-6.441048e+000;-5.670367e+000;4.902303e-001;7.838841e-001;1.153989e+000;1.454529e+000;1.697265e+000;1.885986e+000;2.266492e+000;2.323476e+000;0;4.899827e-001;0;0;0;0;8.437867e-003;7.987007e-001;2.107544e-001;-1.476169e-002;4.455569e-001;4.392901e-001;-1.105937e+000;3.632886e-002;-5.541977e-001;2.955476e+000;1.573705e+000;-1.000170e+000;-1.992219e-001;9.092496e-001;2.471942e-001;8.816680e-001;9.301605e-002;1.585941e-001;3.046970e-002;1.033973e-001;1.505840e-001;1.061570e-001;8.837929e-002;2.201481e-002;-1.535119e-002;7.788062e-003;-1.302240e-002;-4.010999e-003;9.443879e-004;-7.146120e-003;-1.807001e-002;-1.063514e-002;0;6.995922e-002;0;0;0;0
1;0;0;0;0;0;035;08;0.030000;5.406082e-002;-6.829193e+001;-2.824574e+001;-1.213908e+000;1.485321e+000;-2.286392e+000;4.477726e+000;-6.536794e-001;-4.961271e+000;-9.568780e+000;-4.655460e+000;5.584825e+000;-8.013913e+000;2.688773e+000;3.139855e+000;-4.926565e+000;-1.104752e+001;-1.095661e+001;-9.977119e+000;-8.886795e+000;-8.397808e+000;-7.010844e+000;-6.262077e+000;-5.564178e+000;4.621330e-001;7.883446e-001;1.138849e+000;1.451786e+000;1.712487e+000;1.890159e+000;2.262297e+000;2.320915e+000;0;4.835558e-001;0;0;0;0;-1.252991e-003;5.284263e-001;-7.890652e-001;-1.960311e-001;3.022202e-001;-3.564874e-001;-1.893530e+000;-2.485575e+000;-1.577382e+000;2.839109e+000;7.222730e-001;-1.493260e+000;1.558576e-001;5.344618e-001;8.840069e-001;1.039495e+000;-2.171040e-003;1.334418e-001;-1.101218e-001;2.076549e-002;1.562519e-001;7.585855e-002;1.653397e-001;1.023833e-001;-1.521939e-002;1.996324e-002;3.951788e-005;-1.737058e-003;1.347961e-002;1.123128e-002;-1.129549e-002;-5.319643e-003;0;1.938108e-002;0;0;0;0
1;0;0;0;0;0;035;08;0.040000;4.016147e-002;-6.852821e+001;-3.082940e+001;-1.850834e+000;2.390548e+000;-1.902729e+000;1.651159e-001;-9.991024e+000;-1.078954e+001;-7.412882e+000;-4.103983e+000;6.045900e+000;-8.101620e+000;-2.546487e-002;2.304182e+000;-5.024454e+000;-1.122475e+001;-1.086449e+001;-1.056240e+001;-8.937093e+000;-8.173562e+000;-6.996164e+000;-6.060629e+000;-5.394461e+000;4.659803e-001;8.407516e-001;1.154808e+000;1.445392e+000;1.732452e+000;1.928342e+000;2.241094e+000;2.313719e+000;0;4.466674e-001;0;0;0;0;-5.473597e-003;2.231476e-001;-1.506949e+000;-4.640946e-001;3.496878e-001;-8.334265e-001;-2.012400e+000;-3.435551e+000;-1.740458e+000;1.742236e+000;-3.745415e-001;-1.176057e+000;1.173741e+000;4.738504e-001;1.013299e+000;9.546902e-001;-1.032939e-001;5.670624e-002;-1.812350e-001;-5.977144e-002;1.416910e-001;6.594525e-002;1.985112e-001;1.482469e-001;-7.464987e-003;2.597384e-002;1.567841e-002;1.800442e-003;2.123174e-002;2.236066e-002;7.841587e-005;2.324963e-003;0;-7.151631e-003;0;0;0;0
1;0;0;0;0;0;035;08;0.050000;2.681761e-002;-6.835205e+001;-3.265589e+001;-2.627362e+000;2.393513e+000;-4.704035e+000;-1.257452e+000;-1.176952e+001;-1.255981e+001;-8.672769e+000;-6.945025e+000;2.542101e+000;-5.430243e+000;4.102550e+000;5.308478e+000;-3.899134e+000;-1.130225e+001;-1.085309e+001;-1.055057e+001;-9.076013e+000;-8.121841e+000;-6.867543e+000;-5.795346e+000;-5.204415e+000;4.464501e-001;8.518178e-001;1.182678e+000;1.459484e+000;1.763637e+000;1.943544e+000;2.260216e+000;2.322151e+000;0;4.592054e-001;0;0;0;0;-5.287388e-003;2.836357e-001;-1.164124e+000;-4.105128e-001;1.704828e-001;-1.542994e+000;-1.510436e+000;-1.856007e+000;-4.199154e-001;-2.677739e-001;-7.090869e-001;-4.745847e-001;1.765926e+000;7.625668e-002;3.707980e-001;7.625951e-001;-6.925888e-002;5.519361e-002;-5.751610e-002;-7.346515e-002;9.672709e-002;9.468560e-002;1.664625e-001;1.504540e-001;-2.884355e-003;1.421021e-002;2.496270e-002;6.023765e-003;1.663829e-002;2.012029e-002;5.961752e-003;5.477476e-003;0;1.234409e-003;0;0;0;0
1;0;0;0;0;0;035;08;0.060000;3.267116e-002;-6.831012e+001;-3.391606e+001;-3.675570e+000;3.159281e+000;-4.601820e+000;-2.626191e+000;-1.409187e+001;-1.296018e+001;-8.547919e+000;-8.076232e+000;3.962046e+000;-2.924906e+000;2.647061e+000;4.401012e+000;-2.639718e+000;-1.144738e+001;-1.091205e+001;-1.073617e+001;-9.146058e+000;-7.946447e+000;-6.796581e+000;-5.681858e+000;-5.109014e+000;4.607468e-001;8.820167e-001;1.210467e+000;1.459682e+000;1.777849e+000;1.971096e+000;2.267924e+000;2.334482e+000;0;4.663998e-001;0;0;0;0;-1.303347e-003;5.637093e-001;-4.667694e-001;-3.814738e-002;-6.752966e-002;-1.639821e+000;-2.047559e-001;1.874747e+000;2.642581e+000;-6.560629e-001;1.142218e+000;1.008469e+000;1.415920e+000;-3.786928e-001;-4.988392e-001;4.190226e-001;-8.087377e-002;5.908642e-002;1.315712e-001;-2.669907e-002;4.627647e-002;1.534477e-001;1.136843e-001;1.462384e-001;8.708259e-003;-4.179222e-003;2.896084e-002;8.464885e-003;5.796313e-003;6.575155e-003;4.555583e-003;3.274202e-003;0;1.233664e-003;0;0;0;0
1;0;0;0;0;0;035;08;0.070000;3.136903e-002;-6.698280e+001;-3.252303e+001;-2.354105e+000;1.953368e+000;-8.651818e+000;-1.678798e+000;-7.883291e+000;-5.975527e+000;-1.034013e+001;-6.214770e+000;4.253829e+000;-1.772640e+000;1.733794e+000;3.945431e+000;-2.305958e+000;-1.128250e+001;-1.065686e+001;-1.017782e+001;-9.149638e+000;-8.027730e+000;-6.637207e+000;-5.619151e+000;-4.954632e+000;4.503280e-001;8.387631e-001;1.235833e+000;1.474760e+000;1.772980e+000;1.969383e+000;2.278690e+000;2.337920e+000;0;4.798617e-001;0;0;0;0;-8.852578e-004;6.216171e-001;-3.197784e-002;6.867772e-001;5.449917e-002;-6.239499e-001;9.605328e-001;3.485034e+000;2.922987e+000;-8.736164e-001;3.527697e+000;1.948501e+000;-1.789789e-001;-1.619516e+000;-2.729001e+000;-8.523051e-001;-2.951422e-002;4.616680e-002;1.400032e-001;4.236326e-002;-2.273736e-002;1.614552e-001;4.802694e-002;1.341116e-001;1.311075e-002;-1.446775e-002;1.925583e-002;1.094129e-002;-3.727460e-003;-4.706132e-003;-7.665658e-003;-4.259491e-003;0;-3.954789e-002;0;0;0;0
1;0;0;0;0;0;035;08;0.080000;3.136903e-002;-6.639429e+001;-3.322968e+001;-2.178200e+000;2.272973e+000;-8.127941e+000;-6.479902e-001;-2.560404e+000;-8.687759e-001;-9.859515e+000;1.241978e+000;1.023238e+001;-2.850820e+000;-7.345508e-001;4.915098e-001;-3.725929e+000;-1.163899e+001;-1.066717e+001;-1.009092e+001;-9.033775e+000;-7.989235e+000;-6.344093e+000;-5.580306e+000;-4.788160e+000;5.075827e-001;8.263829e-001;1.273034e+000;1.480079e+000;1.756762e+000;1.948298e+000;2.254635e+000;2.322205e+000;0;4.425076e-001;0;0;0;0;-9.333553e-004;5.475906e-001;-3.355751e-002;7.553400e-001;3.968548e-001;8.577535e-001;1.640343e+000;2.981367e+000;1.994460e+000;-3.504046e-001;4.015439e+000;1.393653e+000;-1.105688e+000;-1.077429e+000;-3.503216e+000;-1.127848e+000;5.903435e-003;-1.226349e-002;6.449413e-002;8.759622e-002;-4.085541e-004;1.442128e-001;2.002239e-002;1.275611e-001;1.303972e-002;-9.752667e-003;4.051697e-003;5.385387e-003;-7.237649e-003;-1.513517e-002;-1.861887e-002;-1.283777e-002;0;-5.692597e-002;0;0;0;0
1;0;0;0;0;0;035;08;0.090000;2.304239e-002;-6.620188e+001;-3.315897e+001;5.783884e-002;3.109163e+000;-6.060724e+000;2.556111e+000;-1.100872e-001;-3.990581e+000;-1.238505e+001;6.034353e+000;9.149440e+000;-6.362181e+000;-2.304223e+000;-6.381775e+000;-7.617553e+000;-1.135402e+001;-1.074469e+001;-1.017318e+001;-8.920338e+000;-8.214134e+000;-6.286511e+000;-5.605987e+000;-4.694284e+000;4.885860e-001;8.072960e-001;1.247673e+000;1.503992e+000;1.755543e+000;1.931412e+000;2.228533e+000;2.306993e+000;0;2.734120e-001;0;0;0;0;4.122753e-003;3.515541e-001;-7.351188e-002;4.441797e-001;4.799632e-001;1.716611e+000;1.223953e+000;-1.856345e-001;8.075712e-002;6.844314e-001;2.100891e+000;3.911763e-001;-3.209828e-001;-1.968867e-001;-2.770123e+000;-8.362978e-001;5.763683e-002;-2.309217e-002;-5.405340e-002;8.364391e-002;6.906939e-002;4.121137e-002;1.409850e-002;9.514956e-002;7.334298e-003;5.003142e-003;-1.168078e-002;-4.139590e-003;-1.928878e-003;-7.155263e-003;-1.434729e-002;-9.368325e-003;0;-4.896218e-002;0;0;0;0
